Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
BIGC,"BigCommerce Holdings, Inc.",58.81,+12.96,+28.27%,7.818M,1.275M,4.253B,N/A
CFLT,"Confluent, Inc.",93.60,+20.00,+27.17%,5.723M,1.293M,24.374B,N/A
GDYN,"Grid Dynamics Holdings, Inc.",37.03,+7.80,+26.68%,1.265M,"556,370",2.3B,N/A
LGF-B,Lions Gate Entertainment Corp.,15.43,+3.23,+26.48%,3.521M,"878,413",3.643B,N/A
LGF-A,Lions Gate Entertainment Corp.,16.93,+3.06,+22.06%,2.333M,"806,466",3.516B,N/A
MCFE,McAfee Corp.,25.46,+4.25,+20.04%,8.642M,1.776M,4.302B,N/A
GOOS,Canada Goose Holdings Inc.,48.26,+7.83,+19.37%,5.762M,1.022M,5.105B,103.78
EAF,GrafTech International Ltd.,13.31,+2.13,+19.05%,6.279M,2.002M,3.565B,10.32
AMEH,"Apollo Medical Holdings, Inc.",85.99,+13.60,+18.79%,"906,308","625,112",3.823B,67.34
IGMS,"IGM Biosciences, Inc.",62.72,+9.76,+18.43%,"529,230","151,320",2.054B,N/A
QRTEA,"Qurate Retail, Inc.",9.65,+1.43,+17.40%,22.635M,4.125M,3.935B,2.86
IONQ,"IonQ, Inc.",19.27,+2.84,+17.29%,12.846M,3.138M,3.709B,N/A
SHAK,Shake Shack Inc.,90.97,+12.89,+16.51%,9.471M,"861,147",3.56B,N/A
EXPE,"Expedia Group, Inc.",182.17,+24.62,+15.63%,11.206M,2.344M,27.475B,N/A
TCNNF,Trulieve Cannabis Corp.,28.00,+3.77,+15.56%,"561,472","384,280",5.184B,38.62
LYV,"Live Nation Entertainment, Inc.",123.80,+16.28,+15.14%,7.833M,1.938M,27.813B,N/A
CDXS,"Codexis, Inc.",40.17,+5.21,+14.90%,2.441M,"647,656",2.597B,N/A
INSD,Instadose Pharma Corp.,47.25,+6.00,+14.55%,"18,121","3,938",3.544B,N/A
AMCX,AMC Networks Inc.,49.10,+6.13,+14.27%,"870,070","323,386",2.082B,8.12
MTNOY,MTN Group Limited,10.98,+1.37,+14.26%,"21,954","26,024",19.753B,40.52
AL,Air Lease Corporation,48.99,+6.05,+14.09%,1.39M,"645,438",5.795B,14.37
BILL,"Bill.com Holdings, Inc.",334.46,+40.56,+13.80%,3.46M,1.566M,34.27B,N/A
FLR,Fluor Corporation,23.09,+2.80,+13.80%,7.638M,2.231M,3.265B,N/A
SPR,"Spirit AeroSystems Holdings, Inc.",45.52,+5.32,+13.23%,3.859M,1.434M,4.799B,N/A
ABNB,"Airbnb, Inc.",201.62,+23.17,+12.98%,27.331M,5.738M,122.784B,N/A
